Name,10th_marks,12th_marks,Stream,Skills,Interests,Personality,Recommended_Career
Arun_40,69,83,Commerce,"Adobe Suite, Graphic Design, Creativity",Art,ENFP,Film Director
Ravi_41,73,75,Commerce,"Financial Analysis, Management, Marketing",Business,ESTJ,Marketing Manager
John_42,80,65,Commerce,"Storytelling, Writing, Film Making",Art,ENFP,Film Director
Aditi_43,67,92,Arts,"Creativity, Graphic Design, Storytelling",Art,INFJ,Graphic Designer
Maya_44,75,87,Arts,"Adobe Suite, Creativity, Communication",Art,INFJ,Graphic Designer
John_45,81,95,Science,"Deep Learning, ML, Networking",Tech,INFP,Data Scientist
Rahul_46,71,90,Commerce,"Storytelling, Creativity, Film Making",Art,ISFP,Content Writer
Maya_47,81,75,Science,"Adobe Suite, Storytelling, Creativity",Art,INFP,Content Writer
Karan_48,67,85,Science,"Storytelling, Communication, Creativity",Art,ENTJ,Film Director
John_49,85,99,Arts,"Storytelling, Film Making, Communication",Art,ISFP,Content Writer
Arun_50,96,96,Commerce,"Marketing, Accounting, Sales",Business,INTP,Accountant
Arun_51,98,98,Arts,"Data Analysis, Cybersecurity, ML",Tech,INTJ,AI Engineer
Neha_52,67,97,Arts,"Sales, Financial Analysis, Accounting",Business,ENFP,Marketing Manager
Maya_53,94,76,Commerce,"Sales, Management, Financial Analysis",Business,INTJ,Marketing Manager
Rahul_54,62,91,Arts,"Accounting, Financial Analysis, Excel",Business,ENTJ,Accountant
Karan_55,65,100,Science,"Adobe Suite, Film Making, Graphic Design",Art,ESTJ,Content Writer
Karan_56,79,82,Science,"Graphic Design, Storytelling, Writing",Art,INTJ,Content Writer
Ravi_57,81,95,Arts,"ML, Data Analysis, Cybersecurity",Tech,ENFP,Cybersecurity Analyst
Ravi_58,75,73,Arts,"Adobe Suite, Creativity, Writing",Art,ISTJ,Content Writer
Ravi_59,80,99,Arts,"Writing, Adobe Suite, Graphic Design",Art,ENTJ,Film Director
Rahul_60,90,69,Arts,"Adobe Suite, Creativity, Communication",Art,ENTJ,Graphic Designer
Priya_61,66,88,Science,"Sales, Financial Analysis, Management",Business,ISTJ,Accountant
Ravi_62,65,82,Science,"Accounting, Financial Analysis, Management",Business,ISFP,Marketing Manager
Aditi_63,72,77,Commerce,"Graphic Design, Communication, Storytelling",Art,ISTJ,Content Writer
Neha_64,69,78,Arts,"Financial Analysis, Accounting, Management",Business,INTJ,Marketing Manager
Arun_65,90,85,Science,"Management, Financial Analysis, Excel",Business,ESTJ,Marketing Manager
John_66,64,95,Arts,"Writing, Adobe Suite, Graphic Design",Art,INTP,Film Director
Sneha_67,100,72,Commerce,"Storytelling, Creativity, Writing",Art,ISTJ,Graphic Designer
Sneha_68,64,65,Arts,"Storytelling, Writing, Communication",Art,ESTJ,Film Director
Arun_69,94,64,Arts,"AI, Data Analysis, Networking",Tech,ISFP,Data Scientist
Neha_70,95,92,Science,"Management, Accounting, Excel",Business,ENFP,Business Analyst
Neha_71,77,96,Arts,"Film Making, Writing, Communication",Art,ISTJ,Content Writer
Arun_72,63,65,Science,"AI, ML, Python",Tech,ESTJ,Cybersecurity Analyst
Karan_73,68,100,Arts,"Deep Learning, Networking, Python",Tech,ISTJ,Data Scientist
Priya_74,66,97,Science,"Cybersecurity, Python, AI",Tech,ESTJ,Data Analyst
Ravi_75,95,97,Arts,"Analytics, Excel, Financial Analysis",Business,ISTJ,Accountant
Neha_76,91,67,Commerce,"ML, AI, Data Analysis",Tech,INFP,AI Engineer
Ravi_77,60,82,Science,"Cybersecurity, ML, Statistics",Tech,ENFP,Data Analyst
Maya_78,69,82,Science,"Management, Sales, Accounting",Business,ESTJ,Marketing Manager
John_79,80,60,Science,"Film Making, Storytelling, Adobe Suite",Art,INFP,Content Writer
Sneha_80,74,96,Arts,"Deep Learning, ML, Statistics",Tech,ISTJ,Data Scientist
Rahul_81,78,66,Arts,"Communication, Graphic Design, Creativity",Art,INFJ,Content Writer
Priya_82,70,83,Arts,"Adobe Suite, Film Making, Storytelling",Art,ENTJ,Content Writer
Rahul_83,64,82,Science,"Graphic Design, Adobe Suite, Storytelling",Art,INFP,Graphic Designer
Arun_84,82,99,Science,"Networking, Cybersecurity, ML",Tech,ISFP,Data Scientist
Aditi_85,96,62,Commerce,"Marketing, Financial Analysis, Analytics",Business,INFJ,Accountant
Karan_86,71,94,Commerce,"Deep Learning, ML, Python",Tech,ENTJ,Data Analyst
Sneha_87,94,72,Arts,"Sales, Marketing, Management",Business,INTP,Business Analyst
Ravi_88,90,91,Arts,"Storytelling, Graphic Design, Adobe Suite",Art,INTP,Film Director
Priya_89,65,95,Arts,"Adobe Suite, Graphic Design, Film Making",Art,INTJ,Content Writer
Maya_90,81,62,Commerce,"Financial Analysis, Accounting, Analytics",Business,INTP,Marketing Manager
Priya_91,88,82,Commerce,"Communication, Creativity, Film Making",Art,ENTJ,Graphic Designer
Ravi_92,87,82,Commerce,"Communication, Adobe Suite, Storytelling",Art,ESTJ,Graphic Designer
Rahul_93,74,69,Arts,"Writing, Film Making, Storytelling",Art,INTJ,Content Writer
Arun_94,80,85,Science,"Excel, Marketing, Analytics",Business,INFP,Business Analyst
Rahul_95,68,96,Commerce,"Statistics, Deep Learning, Networking",Tech,INTP,Data Scientist
Rahul_96,62,83,Commerce,"Creativity, Writing, Storytelling",Art,ESTJ,Film Director
Ravi_97,95,66,Commerce,"Marketing, Accounting, Excel",Business,INFP,Accountant
Aditi_98,77,83,Arts,"Financial Analysis, Analytics, Marketing",Business,INTJ,Accountant
Neha_99,73,89,Arts,"Marketing, Management, Excel",Business,ISFP,Accountant
John_100,62,97,Commerce,"Statistics, Deep Learning, Python",Tech,ENTJ,Data Analyst
Maya_101,83,68,Arts,"Marketing, Analytics, Financial Analysis",Business,INTJ,Business Analyst
Sneha_102,75,80,Arts,"Data Analysis, Statistics, Deep Learning",Tech,ESTJ,Cybersecurity Analyst
Rahul_103,99,62,Commerce,"Excel, Financial Analysis, Management",Business,ISFP,Marketing Manager
Priya_104,98,72,Science,"Networking, Statistics, Python",Tech,ESTJ,AI Engineer
Karan_105,61,92,Commerce,"Statistics, Python, AI",Tech,ENFP,AI Engineer
Ravi_106,66,82,Science,"Storytelling, Writing, Communication",Art,INTJ,Film Director
Neha_107,85,82,Science,"Management, Accounting, Sales",Business,INTP,Business Analyst
Karan_108,94,95,Commerce,"Storytelling, Adobe Suite, Film Making",Art,INFP,Graphic Designer
Rahul_109,89,89,Arts,"Networking, ML, Data Analysis",Tech,INFJ,Data Scientist
Neha_110,68,70,Science,"Writing, Communication, Storytelling",Art,ISFP,Film Director
Karan_111,73,73,Commerce,"Film Making, Writing, Communication",Art,INTP,Film Director
Karan_112,81,91,Arts,"Cybersecurity, Deep Learning, Statistics",Tech,ENTJ,Data Scientist
Priya_113,66,91,Arts,"Management, Accounting, Financial Analysis",Business,ESTJ,Marketing Manager
John_114,87,93,Science,"Communication, Creativity, Adobe Suite",Art,ISTJ,Graphic Designer
Maya_115,84,81,Science,"Adobe Suite, Writing, Creativity",Art,INTJ,Graphic Designer
Sneha_116,69,86,Commerce,"Financial Analysis, Marketing, Sales",Business,INTJ,Marketing Manager
Sneha_117,90,99,Arts,"Excel, Financial Analysis, Accounting",Business,ISTJ,Marketing Manager
John_118,84,72,Science,"Film Making, Adobe Suite, Writing",Art,ISFP,Graphic Designer
Maya_119,84,76,Science,"AI, Deep Learning, Data Analysis",Tech,INFJ,Data Analyst
Neha_120,72,76,Commerce,"Management, Sales, Marketing",Business,ISFP,Marketing Manager
John_121,72,100,Commerce,"Analytics, Sales, Financial Analysis",Business,ENTJ,Marketing Manager
Karan_122,67,62,Commerce,"Creativity, Storytelling, Communication",Art,ENFP,Film Director
Priya_123,98,79,Science,"Analytics, Excel, Sales",Business,ENFP,Marketing Manager
Aditi_124,99,66,Commerce,"AI, Cybersecurity, ML",Tech,ISFP,Data Scientist
Ravi_125,94,61,Arts,"Accounting, Sales, Marketing",Business,INTP,Marketing Manager
John_126,89,94,Science,"Storytelling, Graphic Design, Writing",Art,ENFP,Content Writer
Sneha_127,70,87,Arts,"Analytics, Sales, Marketing",Business,ENTJ,Business Analyst
Priya_128,86,82,Science,"Storytelling, Writing, Creativity",Art,ENFP,Content Writer
Aditi_129,86,81,Science,"Marketing, Excel, Analytics",Business,ENFP,Accountant
Neha_130,92,85,Science,"Statistics, Python, Data Analysis",Tech,INTJ,Data Analyst
Neha_131,61,100,Arts,"Creativity, Film Making, Storytelling",Art,ISTJ,Film Director
Arun_132,66,92,Arts,"Deep Learning, Python, Networking",Tech,INTP,Data Analyst
Arun_133,90,93,Commerce,"Financial Analysis, Accounting, Analytics",Business,INFJ,Accountant
Karan_134,61,69,Science,"Analytics, Accounting, Management",Business,ENTJ,Marketing Manager
Sneha_135,88,75,Science,"Storytelling, Creativity, Communication",Art,INTP,Content Writer
Arun_136,61,88,Arts,"Adobe Suite, Storytelling, Communication",Art,INTJ,Content Writer
Aditi_137,83,62,Commerce,"Storytelling, Film Making, Writing",Art,ISFP,Content Writer
Karan_138,91,72,Science,"ML, Python, Data Analysis",Tech,ISFP,AI Engineer
Neha_139,86,64,Science,"Accounting, Analytics, Sales",Business,ENTJ,Accountant
Ravi_140,80,62,Commerce,"Sales, Marketing, Financial Analysis",Business,INTP,Business Analyst
Arun_141,86,64,Commerce,"Networking, Deep Learning, AI",Tech,INTJ,Data Scientist
Arun_142,82,85,Arts,"Deep Learning, Statistics, Data Analysis",Tech,ENTJ,Cybersecurity Analyst
Maya_143,70,97,Science,"Management, Marketing, Financial Analysis",Business,INFP,Accountant
John_144,79,62,Commerce,"AI, Statistics, Cybersecurity",Tech,ESTJ,Cybersecurity Analyst
Maya_145,97,72,Commerce,"Film Making, Creativity, Storytelling",Art,ISFP,Film Director
Karan_146,93,94,Arts,"Creativity, Writing, Storytelling",Art,INFP,Content Writer
Aditi_147,100,68,Commerce,"Excel, Marketing, Management",Business,INFJ,Marketing Manager
Maya_148,89,93,Science,"AI, Cybersecurity, Statistics",Tech,INTP,Cybersecurity Analyst
John_149,85,85,Science,"Cybersecurity, Networking, Deep Learning",Tech,ISFP,Data Analyst
Aditi_150,100,77,Commerce,"Writing, Communication, Creativity",Art,ESTJ,Graphic Designer
Maya_151,69,90,Arts,"Excel, Sales, Analytics",Business,INFP,Marketing Manager
Aditi_152,68,74,Commerce,"Creativity, Communication, Storytelling",Art,ENFP,Content Writer
Priya_153,66,79,Commerce,"Python, Networking, AI",Tech,ENTJ,AI Engineer
Sneha_154,69,82,Arts,"Statistics, Deep Learning, AI",Tech,ENTJ,AI Engineer
Rahul_155,78,68,Arts,"Management, Excel, Marketing",Business,ENTJ,Accountant
Ravi_156,99,89,Arts,"Marketing, Analytics, Sales",Business,INFP,Accountant
Karan_157,88,84,Science,"Marketing, Excel, Analytics",Business,INTJ,Business Analyst
Rahul_158,85,87,Arts,"Python, AI, Data Analysis",Tech,INFJ,Data Analyst
Priya_159,82,80,Arts,"AI, Statistics, Data Analysis",Tech,INFP,AI Engineer
Ravi_160,92,63,Commerce,"Python, AI, Networking",Tech,ENFP,AI Engineer
Rahul_161,76,89,Commerce,"Film Making, Adobe Suite, Storytelling",Art,INTP,Film Director
John_162,100,86,Science,"Accounting, Analytics, Excel",Business,INFJ,Business Analyst
Maya_163,79,97,Commerce,"Storytelling, Film Making, Communication",Art,ENTJ,Graphic Designer
Arun_164,81,95,Arts,"Communication, Film Making, Writing",Art,ISFP,Film Director
Ravi_165,84,80,Commerce,"AI, Statistics, ML",Tech,ENTJ,Data Analyst
Neha_166,84,96,Commerce,"ML, Data Analysis, Python",Tech,ENFP,Data Analyst
John_167,86,73,Commerce,"Sales, Analytics, Excel",Business,INTJ,Accountant
Sneha_168,70,73,Commerce,"Accounting, Analytics, Management",Business,ENTJ,Business Analyst
Arun_169,68,94,Arts,"Deep Learning, Python, AI",Tech,ISFP,Data Analyst
Aditi_170,84,73,Commerce,"Analytics, Financial Analysis, Excel",Business,ENFP,Accountant
Rahul_171,77,98,Arts,"Graphic Design, Communication, Storytelling",Art,ISFP,Film Director
Karan_172,91,95,Arts,"Creativity, Film Making, Writing",Art,INFP,Graphic Designer
John_173,95,82,Commerce,"Storytelling, Graphic Design, Creativity",Art,ENFP,Film Director
Ravi_174,99,66,Science,"Film Making, Graphic Design, Creativity",Art,ESTJ,Graphic Designer
Sneha_175,69,75,Arts,"Excel, Accounting, Marketing",Business,INTJ,Accountant
John_176,60,85,Commerce,"Analytics, Management, Accounting",Business,INTJ,Marketing Manager
Arun_177,67,71,Arts,"Management, Financial Analysis, Accounting",Business,ENFP,Marketing Manager
Priya_178,70,76,Arts,"Adobe Suite, Communication, Storytelling",Art,ENTJ,Content Writer
Ravi_179,89,96,Arts,"Excel, Financial Analysis, Analytics",Business,ISTJ,Accountant
Aditi_180,63,66,Arts,"Analytics, Management, Marketing",Business,INTP,Business Analyst
Arun_181,79,68,Science,"ML, Cybersecurity, Statistics",Tech,INTP,Data Scientist
Karan_182,61,63,Arts,"Writing, Film Making, Adobe Suite",Art,ISTJ,Film Director
Aditi_183,74,83,Commerce,"Sales, Financial Analysis, Analytics",Business,INFJ,Accountant
Ravi_184,65,75,Arts,"Adobe Suite, Communication, Writing",Art,ISTJ,Graphic Designer
Sneha_185,82,83,Arts,"Sales, Marketing, Analytics",Business,ENTJ,Accountant
Sneha_186,72,71,Arts,"Networking, Data Analysis, AI",Tech,ENTJ,Data Scientist
Karan_187,97,81,Science,"Accounting, Excel, Management",Business,ISTJ,Marketing Manager
Maya_188,65,73,Science,"Film Making, Writing, Storytelling",Art,INFJ,Content Writer
Ravi_189,97,85,Arts,"Sales, Management, Excel",Business,INTJ,Marketing Manager
Arun_190,94,83,Arts,"Python, AI, Networking",Tech,ESTJ,Cybersecurity Analyst
John_191,82,66,Arts,"Management, Analytics, Excel",Business,ENTJ,Accountant
Ravi_192,82,63,Science,"Management, Sales, Financial Analysis",Business,INTJ,Business Analyst
Neha_193,100,60,Science,"Networking, Data Analysis, Statistics",Tech,ISTJ,Data Scientist
John_194,64,97,Science,"Communication, Graphic Design, Storytelling",Art,ISTJ,Film Director
Maya_195,67,98,Science,"Statistics, Cybersecurity, Python",Tech,INTJ,Data Analyst
Karan_196,73,82,Science,"Analytics, Marketing, Financial Analysis",Business,ESTJ,Business Analyst
Neha_197,99,61,Arts,"Accounting, Management, Analytics",Business,INFP,Business Analyst
Karan_198,93,96,Commerce,"Excel, Financial Analysis, Marketing",Business,ENFP,Accountant
Maya_199,80,88,Science,"Adobe Suite, Film Making, Communication",Art,INTJ,Content Writer
Priya_200,68,69,Science,"Marketing, Excel, Financial Analysis",Business,ESTJ,Marketing Manager
Aditi_201,83,95,Science,"Film Making, Writing, Graphic Design",Art,ISTJ,Graphic Designer
Priya_202,76,74,Arts,"Creativity, Communication, Writing",Art,ESTJ,Film Director
Neha_203,77,78,Arts,"Marketing, Accounting, Excel",Business,ENFP,Accountant
John_204,76,74,Arts,"AI, Statistics, ML",Tech,INTJ,Data Analyst
Karan_205,62,63,Science,"Adobe Suite, Communication, Film Making",Art,ISFP,Graphic Designer
Maya_206,97,95,Science,"Data Analysis, Deep Learning, Networking",Tech,ESTJ,Data Analyst
Neha_207,82,98,Science,"Accounting, Excel, Sales",Business,INTP,Marketing Manager
Rahul_208,65,72,Science,"AI, Python, Networking",Tech,ENTJ,Data Scientist
Priya_209,89,69,Science,"AI, Networking, Data Analysis",Tech,ISFP,AI Engineer
Maya_210,66,97,Arts,"Cybersecurity, AI, Networking",Tech,INFP,AI Engineer
Ravi_211,98,70,Commerce,"Deep Learning, Statistics, Networking",Tech,INFJ,Data Analyst
Aditi_212,62,71,Arts,"ML, Statistics, Data Analysis",Tech,ENTJ,Data Scientist
Rahul_213,68,64,Commerce,"Financial Analysis, Excel, Marketing",Business,ENTJ,Accountant
Priya_214,64,78,Arts,"Graphic Design, Creativity, Storytelling",Art,INFJ,Film Director
John_215,60,89,Science,"Adobe Suite, Storytelling, Film Making",Art,ISTJ,Content Writer
Priya_216,75,71,Science,"Deep Learning, Cybersecurity, Python",Tech,ISFP,Data Scientist
Karan_217,77,68,Arts,"Data Analysis, Python, Statistics",Tech,ISFP,AI Engineer
Aditi_218,80,79,Commerce,"Film Making, Writing, Adobe Suite",Art,ENTJ,Film Director
Neha_219,60,75,Science,"ML, AI, Data Analysis",Tech,ENTJ,Data Scientist
Karan_220,72,75,Science,"Analytics, Excel, Marketing",Business,ENTJ,Accountant
Rahul_221,73,72,Science,"Writing, Film Making, Creativity",Art,INFP,Film Director
Maya_222,67,83,Arts,"Writing, Storytelling, Film Making",Art,ENTJ,Graphic Designer
Rahul_223,72,78,Commerce,"Communication, Writing, Storytelling",Art,ISTJ,Film Director
Karan_224,79,75,Science,"Networking, AI, Statistics",Tech,INTJ,Cybersecurity Analyst
Karan_225,96,80,Commerce,"Financial Analysis, Excel, Management",Business,ENTJ,Marketing Manager
Sneha_226,93,70,Science,"ML, Networking, Deep Learning",Tech,ISFP,AI Engineer
Arun_227,78,72,Commerce,"Networking, Deep Learning, Python",Tech,ENTJ,Data Scientist
Ravi_228,65,85,Arts,"Deep Learning, Networking, Statistics",Tech,ISFP,AI Engineer
Maya_229,75,62,Science,"Excel, Accounting, Management",Business,INFP,Accountant
Ravi_230,81,97,Commerce,"ML, Python, Data Analysis",Tech,ENFP,Data Analyst
Rahul_231,72,74,Science,"Python, Deep Learning, Statistics",Tech,INFJ,AI Engineer
Sneha_232,95,60,Arts,"Adobe Suite, Creativity, Film Making",Art,INFP,Content Writer
John_233,67,69,Arts,"Statistics, Cybersecurity, Python",Tech,INFP,Cybersecurity Analyst
Aditi_234,92,89,Arts,"Management, Analytics, Financial Analysis",Business,ISFP,Business Analyst
Priya_235,95,74,Commerce,"Financial Analysis, Accounting, Excel",Business,ENTJ,Business Analyst
Sneha_236,100,91,Commerce,"Python, Networking, Statistics",Tech,INFP,AI Engineer
Karan_237,85,61,Arts,"Graphic Design, Creativity, Storytelling",Art,INTP,Graphic Designer
Priya_238,88,92,Arts,"Financial Analysis, Analytics, Excel",Business,ISFP,Accountant
Ravi_239,71,93,Arts,"Analytics, Marketing, Excel",Business,ENFP,Marketing Manager
Aditi_240,95,70,Commerce,"Python, Data Analysis, Cybersecurity",Tech,ESTJ,AI Engineer
Sneha_241,85,68,Science,"Sales, Excel, Financial Analysis",Business,ENFP,Business Analyst
Priya_242,88,71,Arts,"Adobe Suite, Creativity, Film Making",Art,ENTJ,Content Writer
Priya_243,76,88,Arts,"Python, Statistics, Data Analysis",Tech,ISTJ,Data Analyst
Priya_244,63,77,Arts,"AI, Data Analysis, Cybersecurity",Tech,INFJ,Data Scientist
Karan_245,71,89,Arts,"ML, Deep Learning, Statistics",Tech,ESTJ,Cybersecurity Analyst
Neha_246,94,64,Commerce,"Graphic Design, Writing, Storytelling",Art,INTP,Film Director
Karan_247,68,89,Commerce,"Analytics, Excel, Marketing",Business,INTJ,Marketing Manager
Ravi_248,80,99,Commerce,"Sales, Financial Analysis, Marketing",Business,INFP,Accountant
Neha_249,83,95,Science,"ML, Cybersecurity, Statistics",Tech,ENFP,AI Engineer
Priya_250,63,76,Science,"Creativity, Writing, Adobe Suite",Art,ISFP,Graphic Designer
Maya_251,84,89,Commerce,"ML, AI, Networking",Tech,INTP,AI Engineer
Priya_252,90,70,Arts,"Communication, Film Making, Creativity",Art,ENTJ,Film Director
Maya_253,83,79,Arts,"Management, Analytics, Accounting",Business,ENTJ,Business Analyst
Maya_254,67,69,Arts,"Analytics, Financial Analysis, Management",Business,INFJ,Marketing Manager
Rahul_255,85,95,Arts,"Storytelling, Graphic Design, Creativity",Art,INFJ,Graphic Designer
John_256,71,92,Science,"Python, Networking, Data Analysis",Tech,INTP,AI Engineer
Ravi_257,98,61,Commerce,"Marketing, Financial Analysis, Sales",Business,ISTJ,Accountant
Maya_258,61,78,Science,"Data Analysis, Statistics, Networking",Tech,ESTJ,Data Analyst
Sneha_259,80,99,Science,"Deep Learning, Python, ML",Tech,ENTJ,AI Engineer
Rahul_260,98,97,Science,"Financial Analysis, Marketing, Sales",Business,ENTJ,Marketing Manager
John_261,63,70,Commerce,"Sales, Excel, Financial Analysis",Business,ISFP,Accountant
Sneha_262,63,77,Science,"Management, Marketing, Analytics",Business,ENFP,Accountant
Sneha_263,85,77,Commerce,"Analytics, Management, Accounting",Business,INTP,Accountant
Ravi_264,68,75,Commerce,"Communication, Writing, Adobe Suite",Art,INTP,Content Writer
Rahul_265,94,85,Science,"Financial Analysis, Management, Accounting",Business,ISTJ,Accountant
Maya_266,64,67,Arts,"Financial Analysis, Accounting, Marketing",Business,ENFP,Marketing Manager
Sneha_267,71,80,Commerce,"Financial Analysis, Sales, Management",Business,INTP,Business Analyst
Aditi_268,63,80,Science,"Python, Cybersecurity, Networking",Tech,INFJ,Data Analyst
Sneha_269,77,94,Commerce,"Writing, Film Making, Storytelling",Art,ISTJ,Content Writer
Sneha_270,70,65,Arts,"Graphic Design, Writing, Communication",Art,INFJ,Graphic Designer
John_271,100,90,Science,"Accounting, Financial Analysis, Excel",Business,INFP,Marketing Manager
Sneha_272,77,67,Science,"Communication, Writing, Storytelling",Art,INFP,Graphic Designer
Rahul_273,69,79,Science,"Management, Sales, Marketing",Business,ISTJ,Marketing Manager
Neha_274,68,85,Commerce,"AI, Statistics, Deep Learning",Tech,ISTJ,AI Engineer
Rahul_275,82,86,Arts,"Creativity, Writing, Film Making",Art,ESTJ,Film Director
Karan_276,64,81,Science,"Accounting, Sales, Analytics",Business,ENFP,Marketing Manager
Ravi_277,89,84,Commerce,"Statistics, Deep Learning, ML",Tech,INTP,Cybersecurity Analyst
Rahul_278,88,68,Science,"Adobe Suite, Writing, Communication",Art,INTP,Film Director
Rahul_279,69,90,Arts,"AI, Networking, ML",Tech,INFJ,Data Analyst
Neha_280,96,80,Arts,"Statistics, Networking, Cybersecurity",Tech,ENFP,Data Scientist
Ravi_281,60,83,Science,"AI, ML, Data Analysis",Tech,INTJ,AI Engineer
Aditi_282,93,63,Arts,"Analytics, Marketing, Excel",Business,INTP,Business Analyst
John_283,74,99,Arts,"Writing, Adobe Suite, Creativity",Art,INTJ,Film Director
Priya_284,61,88,Commerce,"AI, Networking, Data Analysis",Tech,INFJ,Data Analyst
Karan_285,85,96,Arts,"AI, Cybersecurity, Data Analysis",Tech,INFJ,Data Scientist
Aditi_286,87,100,Arts,"Excel, Sales, Analytics",Business,INFJ,Marketing Manager
Aditi_287,83,69,Science,"Statistics, Python, Deep Learning",Tech,ISTJ,AI Engineer
Aditi_288,94,61,Commerce,"Python, Statistics, Data Analysis",Tech,INTP,AI Engineer
Maya_289,78,84,Arts,"Python, ML, Deep Learning",Tech,INFJ,Data Scientist
Arun_290,99,93,Science,"Creativity, Adobe Suite, Film Making",Art,INFP,Film Director
John_291,63,72,Arts,"Deep Learning, ML, Networking",Tech,ESTJ,Data Scientist
Sneha_292,80,61,Science,"Writing, Storytelling, Graphic Design",Art,INFJ,Film Director
Neha_293,60,60,Arts,"Storytelling, Writing, Graphic Design",Art,ENFP,Content Writer
Karan_294,65,65,Science,"Marketing, Financial Analysis, Sales",Business,ENFP,Business Analyst
Sneha_295,88,69,Science,"ML, AI, Deep Learning",Tech,ENFP,Cybersecurity Analyst
Aditi_296,60,62,Commerce,"Statistics, Python, Deep Learning",Tech,ESTJ,Data Analyst
Rahul_297,70,93,Commerce,"Storytelling, Writing, Film Making",Art,ENTJ,Graphic Designer
Aditi_298,97,92,Arts,"Management, Financial Analysis, Analytics",Business,INTP,Marketing Manager
Arun_299,79,96,Arts,"Excel, Sales, Marketing",Business,INFJ,Business Analyst
Rahul_300,70,85,Commerce,"Cybersecurity, ML, Networking",Tech,ISFP,AI Engineer
Priya_301,79,84,Science,"Excel, Management, Marketing",Business,ENTJ,Accountant
Priya_302,78,82,Arts,"Graphic Design, Communication, Film Making",Art,ENTJ,Film Director
Aditi_303,99,72,Science,"Creativity, Adobe Suite, Writing",Art,INTP,Content Writer
Rahul_304,80,78,Science,"Communication, Graphic Design, Adobe Suite",Art,ISFP,Content Writer
